observation_date,EA19LORSGPORGYSAM
1961-03-01,6.224366051
1961-04-01,6.159401351
1961-05-01,6.099258153
1961-06-01,6.057236047
1961-07-01,6.036666252
1961-08-01,6.035175521
1961-09-01,6.046580593
1961-10-01,6.0606859
1961-11-01,6.069018749
1961-12-01,6.069975549
1962-01-01,6.067556227
1962-02-01,6.069610727
1962-03-01,6.079695306
1962-04-01,6.088470968
1962-05-01,6.078637963
1962-06-01,6.030029293
1962-07-01,5.926394405
1962-08-01,5.754133396
1962-09-01,5.505866684
1962-10-01,5.182007377
1962-11-01,4.802204747
1962-12-01,4.414840518
1963-01-01,4.104273598
1963-02-01,3.956641268
1963-03-01,4.015739074
1963-04-01,4.25508651
1963-05-01,4.606007552
1963-06-01,4.99831381
1963-07-01,5.389844495
1963-08-01,5.763347319
1963-09-01,6.120054179
1963-10-01,6.470876355
1963-11-01,6.817465441
1963-12-01,7.130171103
1964-01-01,7.332452264
1964-02-01,7.338457231
1964-03-01,7.105578249
1964-04-01,6.671851962
1964-05-01,6.124955469
1964-06-01,5.558789562
1964-07-01,5.043946897
1964-08-01,4.625881974
1964-09-01,4.323353682
1964-10-01,4.13108915
1964-11-01,4.030774868
1964-12-01,4.004580412
1965-01-01,4.042285932
1965-02-01,4.13841114
1965-03-01,4.284854448
1965-04-01,4.459232914
1965-05-01,4.635708288
1965-06-01,4.793492394
1965-07-01,4.92497233
1965-08-01,5.028943192
1965-09-01,5.105514854
1965-10-01,5.152866522
1965-11-01,5.168253647
1965-12-01,5.151001435
1966-01-01,5.107321403
1966-02-01,5.045546225
1966-03-01,4.973410017
1966-04-01,4.898263667
1966-05-01,4.822652666
1966-06-01,4.741367043
1966-07-01,4.637877186
1966-08-01,4.495157355
1966-09-01,4.306914704
1966-10-01,4.090803748
1966-11-01,3.873883284
1966-12-01,3.679732686
1967-01-01,3.515918003
1967-02-01,3.383746007
1967-03-01,3.285611342
1967-04-01,3.228690708
1967-05-01,3.224177151
1967-06-01,3.282733511
1967-07-01,3.409824653
1967-08-01,3.6032559
1967-09-01,3.849621782
1967-10-01,4.116492387
1967-11-01,4.364327561
1967-12-01,4.557784337
1968-01-01,4.679535876
1968-02-01,4.732087552
1968-03-01,4.745017022
1968-04-01,4.774433422
1968-05-01,4.880857644
1968-06-01,5.094581267
1968-07-01,5.399618011
1968-08-01,5.749377567
1968-09-01,6.099188016
1968-10-01,6.423676501
1968-11-01,6.719366933
1968-12-01,6.995975844
1969-01-01,7.268486903
1969-02-01,7.540480019
1969-03-01,7.786974128
1969-04-01,7.949254057
1969-05-01,7.960281511
1969-06-01,7.78737144
1969-07-01,7.457067782
1969-08-01,7.035243619
1969-09-01,6.591668521
1969-10-01,6.184676931
1969-11-01,5.851529046
1969-12-01,5.609505383
1970-01-01,5.466122039
1970-02-01,5.416748644
1970-03-01,5.449740558
1970-04-01,5.536401298
1970-05-01,5.647305423
1970-06-01,5.755889846
1970-07-01,5.840330522
1970-08-01,5.880123993
1970-09-01,5.854207037
1970-10-01,5.742171577
1970-11-01,5.531404282
1970-12-01,5.230402602
1971-01-01,4.87447591
1971-02-01,4.513532744
1971-03-01,4.189648711
1971-04-01,3.926596155
1971-05-01,3.730724926
1971-06-01,3.598928465
1971-07-01,3.521757977
1971-08-01,3.492482817
1971-09-01,3.511861837
1971-10-01,3.589629814
1971-11-01,3.733891893
1971-12-01,3.936293126
1972-01-01,4.152876534
1972-02-01,4.330825869
1972-03-01,4.435070442
1972-04-01,4.476239651
1972-05-01,4.48874054
1972-06-01,4.511566645
1972-07-01,4.571587842
1972-08-01,4.684091819
1972-09-01,4.85109158
1972-10-01,5.055732313
1972-11-01,5.274182492
1972-12-01,5.484708551
1973-01-01,5.675651497
1973-02-01,5.840484557
1973-03-01,5.973885576
1973-04-01,6.068663858
1973-05-01,6.117862111
1973-06-01,6.118768384
1973-07-01,6.080419628
