DATE,NG Price,,,"U.S. Dollars per Million Metric British Thermal Unit,"
2012-01-01,12.33,,,
2012-02-01,12.22,,,
2012-03-01,12.51,,,
2012-04-01,12.57,,,
2012-05-01,12.57,,,
2012-06-01,12.56,,,
2012-07-01,11.38,,,
2012-08-01,11.4,,,
2012-09-01,11.38,,,
2012-10-01,11.57,,,
2012-11-01,11.64,,,
2012-12-01,11.64,,,
2013-01-01,11.39,,,
2013-02-01,11.36,,,
2013-03-01,11.36,,,
2013-04-01,11.64,,,
2013-05-01,11.41,,,
2013-06-01,11.32,,,
2013-07-01,10.98,,,
2013-08-01,10.97,,,
2013-09-01,10.96,,,
2013-10-01,10.93,,,
2013-11-01,10.96,,,
2013-12-01,10.99,,,
2014-01-01,10.9,,,
2014-02-01,10.83,,,
2014-03-01,10.69,,,
2014-04-01,10.79,,,
2014-05-01,10.64,,,
2014-06-01,10.52,,,
2014-07-01,9.4,,,
2014-08-01,10.38,,,
2014-09-01,10.4,,,
2014-10-01,10.4,,,
2014-11-01,10.16,,,
2014-12-01,10.45,,,
2015-01-01,9.5,,,
2015-02-01,9.29,,,
2015-03-01,9.29,,,
2015-04-01,7.39,,,
2015-05-01,7.37,,,
2015-06-01,7.3,,,
2015-07-01,6.68,,,
2015-08-01,6.66,,,
2015-09-01,6.49,,,
2015-10-01,6.01,,,
2015-11-01,5.87,,,
2015-12-01,5.81,,,
2016-01-01,5.09,,,
2016-02-01,4.79,,,
2016-03-01,4.09,,,
2016-04-01,4.02,,,
2016-05-01,3.99,,,
2016-06-01,4.04,,,
2016-07-01,4.3,,,
2016-08-01,4.25,,,
2016-09-01,3.96,,,
2016-10-01,4.01,,,
2016-11-01,4.54,,,
2016-12-01,5.16,,,
2017-01-01,6.278139859,,,
2017-02-01,6.100298306,,,
2017-03-01,4.945020348,,,
2017-04-01,5.035127314,,,
2017-05-01,5.077170774,,,
2017-06-01,4.983818253,,,
2017-07-01,5.096027583,,,
2017-08-01,5.536058643,,,
2017-09-01,6.040606393,,,
2017-10-01,5.892519354,,,
2017-11-01,6.734037524,,,
2017-12-01,7.209791626,,,
2018-01-01,6.64830331,,,
2018-02-01,7.841035562,,,
2018-03-01,8.536361301,,,
2018-04-01,7.064732567,,,
2018-05-01,7.460863074,,,
2018-06-01,7.50442301,,,
2018-07-01,7.621062683,,,
2018-08-01,8.104114079,,,
2018-09-01,9.518880183,,,
2018-10-01,8.595914599,,,
2018-11-01,8.204490167,,,
2018-12-01,7.892945821,,,
2019-01-01,7.161064953,,,
2019-02-01,5.98633856,,,
2019-03-01,5.197180073,,,
2019-04-01,4.95324985,,,
2019-05-01,4.360182888,,,
2019-06-01,3.483036,,,
2019-07-01,3.595943909,,,
2019-08-01,3.270196677,,,
2019-09-01,3.086804586,,,
2019-10-01,3.339724246,,,
2019-11-01,4.781019523,,,
2019-12-01,4.243548744,,,
2020-01-01,3.626269711,,,
2020-02-01,2.995477203,,,
2020-03-01,2.789823671,,,
2020-04-01,2.083882202,,,
2020-05-01,1.46261232,,,
2020-06-01,1.647299982,,,
2020-07-01,1.640862822,,,
2020-08-01,2.611565546,,,
2020-09-01,3.854995574,,,
2020-10-01,4.813821635,,,
2020-11-01,4.783507944,,,
2020-12-01,5.828639183,,,
2021-01-01,7.302820662,,,
2021-02-01,6.171340829,,,
2021-03-01,6.205197385,,,
2021-04-01,7.282723606,,,
2021-05-01,9.004704035,,,
2021-06-01,10.32413911,,,
2021-07-01,12.5242466,,,
2021-08-01,15.27902912,,,
2021-09-01,22.23282724,,,
2021-10-01,29.81414289,,,
2021-11-01,27.38382608,,,
2021-12-01,37.36336306,,,
2022-01-01,27.89094479,,,
2022-02-01,26.98428134,,,
2022-03-01,41.72768831,,,
2022-04-01,31.9898743,,,
2022-05-01,27.46416643,,,
2022-06-01,32.91260722,,,
2022-07-01,51.14591252,,,
2022-08-01,69.97723933,,,
2022-09-01,55.1791274,,,
2022-10-01,20.80663685,,,
2022-11-01,28.79080462,,,
2022-12-01,35.36873121,,,
2023-01-01,19.88618693,,,
2023-02-01,16.73725918,,,
2023-03-01,13.87044037,,,
2023-04-01,13.68398726,,,
2023-05-01,9.970048913,,,
2023-06-01,10.2937317,,,
2023-07-01,9.611719136,,,
2023-08-01,10.7174213,,,
2023-09-01,11.42793016,,,
2023-10-01,13.38884281,,,
2023-11-01,13.71431567,,,
2023-12-01,11.51,,,
2024-01-01,11.51,,,
