Date,Power
2024-01-01,82.27
2023-10-01,82.27
2023-07-01,90.78
2023-04-01,92.29
2023-01-01,115.8
2022-10-01,192.84
2022-07-01,375.75
2022-04-01,186.98
2022-01-01,184.62
2021-10-01,178.97
2021-07-01,97.14
2021-04-01,60.27
2021-01-01,49.57
2020-10-01,38.77
2020-07-01,36.12
2020-04-01,20.26
2020-01-01,26.57
2019-10-01,36.59
2019-07-01,37.45
2019-04-01,35.8
2019-01-01,40.88
2018-10-01,52.6
2018-07-01,53.51
2018-04-01,35.98
2018-01-01,35.5
2017-10-01,33.09
2017-07-01,32.72
2017-04-01,29.78
2017-01-01,41.32
2016-10-01,37.6
2016-07-01,28.26
2016-04-01,24.79
2016-01-01,25.17
2015-10-01,33.19
2015-07-01,32.84
2015-04-01,28.35
2015-01-01,32.1
2014-10-01,34.82
2014-07-01,31.5
2014-04-01,31.24
2014-01-01,33.5
2013-10-01,37.54
2013-07-01,38.76
2013-04-01,32.6
2013-01-01,42.27
2012-10-01,41.37
2012-07-01,43.52
2012-04-01,40.39
2012-01-01,45.1
