,Date,Coal,USEU,brent,EUA_Price,Market_Size,Natural Gas,IR,Power,GDP
0,2012-01-01,107.4024998,0.775238183,111.4649998,6.973333333,16387333.33,12.33,3.906,45.1,99.26
1,2012-02-01,99.75750046,0.756057617,119.0105007,8.516,18735200,12.22,3.7461,45.1,99.26
2,2012-03-01,96.89090972,0.756705455,124.544546,7.498333333,22869916.67,12.51,3.2821,43.53,99.91933333
3,2012-04-01,97.22750015,0.759511908,120.4865002,6.718,14779600,12.57,3.3809,41.96,100.5786667
4,2012-05-01,87.88636433,0.780286522,110.4331825,6.5475,7857000,12.57,3.527,40.39,101.238
5,2012-06-01,86.79523759,0.797395238,95.92714328,6.958,15307600,12.56,3.4056,41.43333333,101.028
6,2012-07-01,89.54285722,0.812828178,102.8642862,7.486,11229000,11.38,3.2481,42.47666667,100.818
7,2012-08-01,94.56304368,0.806951735,112.6782611,7.6425,9171000,11.4,3.0094,43.52,100.608
8,2012-09-01,90.67894825,0.777912992,112.6147053,7.605,9126000,11.38,2.4178,42.80333333,101.5466667
9,2012-10-01,86.94761876,0.771406956,111.6210528,7.785714286,42821428.57,11.57,2.3055,42.08666667,102.4853333
10,2012-11-01,88.11315838,0.779026817,109.4620007,7.25,325249500,11.64,2.2467,41.37,103.424
11,2012-12-01,90.20333311,0.762263003,109.302778,6.437777778,226928447.8,11.64,2.099,41.67,101.4926667
12,2013-01-01,86.5033332,0.752891737,112.2680958,5.01,257326125,11.39,2.393,41.97,99.56133333
13,2013-02-01,87.21466624,0.748281509,116.0826316,4.380625,257418666.9,11.36,2.8582,42.27,97.63
14,2013-03-01,87.09722137,0.771649046,109.5205259,4.043,292005675,11.36,3.0276,39.04666667,98.788
15,2013-04-01,81.30333274,0.768676815,103.5668189,3.7085,252033368.5,11.64,2.8552,35.82333333,99.946
16,2013-05-01,82.87250023,0.770155653,103.2154551,3.418125,198873348.8,11.41,2.6856,32.6,101.104
17,2013-06-01,75.11666658,0.758056006,103.1426319,4.22125,243219982.5,11.32,3.0709,34.65333333,101.118
18,2013-07-01,74.46052632,0.763959131,107.4919048,4.187777778,270283365.6,10.98,3.1011,36.70666667,101.132
19,2013-08-01,75.53500023,0.750593643,110.5119051,4.401875,129870719.1,10.97,3.0967,38.76,101.146
20,2013-09-01,77.01111137,0.749223334,111.3200005,5.197,374508812.5,10.96,3.407,38.35333333,102.1923333
21,2013-10-01,83.24105273,0.733160905,109.5022732,4.853333333,367506533.3,10.93,3.1626,37.94666667,103.2386667
22,2013-11-01,83.99444411,0.740983336,107.7210533,4.507142857,343719221.4,10.96,3.1712,37.54,104.285
23,2013-12-01,84.68473776,0.730135907,110.8540001,4.632307692,216646082.3,10.99,3.3132,36.19333333,102.6673333
24,2014-01-01,83.075,0.733593917,107.1994995,4.97375,333482476.9,10.9,3.2124,34.84666667,101.0496667
25,2014-02-01,78.40000063,0.732474998,108.7061115,6.438823529,457587871.7,10.83,3.0887,33.5,99.432
26,2014-03-01,74.95421078,0.723308569,107.8576188,6.173888889,345444518.1,10.69,2.8865,32.74666667,100.392
27,2014-04-01,76.76055612,0.724317724,108.0519053,5.184,156484224,10.79,2.6103,31.99333333,101.352
28,2014-05-01,75.02894753,0.727526359,109.2195242,5.029375,163587965.9,10.64,2.555,31.24,102.312
29,2014-06-01,72.64315836,0.735467144,111.980476,5.5425,176717070,10.52,2.2757,31.32666667,102.4553333
30,2014-07-01,72.98722204,0.737982177,107.9859089,5.903333333,210335766.7,9.4,2.1583,31.41333333,102.5986667
