Date,EUA Price,Volume,Market Size
2012-01-31,6.973333333,2350000,16387333.33
2012-02-29,8.516,2200000,18735200
2012-03-31,7.498333333,3050000,22869916.67
2012-04-30,6.718,2200000,14779600
2012-05-31,6.5475,1200000,7857000
2012-06-30,6.958,2200000,15307600
2012-07-31,7.486,1500000,11229000
2012-08-31,7.6425,1200000,9171000
2012-09-30,7.605,1200000,9126000
2012-10-31,7.785714286,5500000,42821428.57
2012-11-30,7.25,44862000,325249500
2012-12-31,6.437777778,35249500,226928447.8
2013-01-31,5.01,51362500,257326125
2013-02-28,4.380625,58763000,257418666.9
2013-03-31,4.043,72225000,292005675
2013-04-30,3.7085,67961000,252033368.5
2013-05-31,3.418125,58182000,198873348.8
2013-06-30,4.22125,57618000,243219982.5
2013-07-31,4.187777778,64541000,270283365.6
2013-08-31,4.401875,29503500,129870719.1
2013-09-30,5.197,72062500,374508812.5
2013-10-31,4.853333333,75722500,367506533.3
2013-11-30,4.507142857,76261000,343719221.4
2013-12-31,4.632307692,46768500,216646082.3
2014-01-31,4.97375,67048500,333482476.9
2014-02-28,6.438823529,71067000,457587871.7
2014-03-31,6.173888889,55952500,345444518.1
2014-04-30,5.184,30186000,156484224
2014-05-31,5.029375,32526500,163587965.9
2014-06-30,5.5425,31884000,176717070
2014-07-31,5.903333333,35630000,210335766.7
2014-08-31,6.235882353,17088000,106558757.6
2014-09-30,5.997777778,35630000,213700822.2
2014-10-31,6.085882353,33757000,205441130.6
2014-11-30,6.779375,31884000,216153592.5
2014-12-31,6.738,19526000,131566188
2015-01-31,6.885333333,44826000,308641952
2015-02-28,7.205,47808000,344456640
2015-03-31,6.737894737,56498000,380677576.9
2015-04-30,7.055333333,44610000,314738420
2015-05-31,7.407857143,41908000,310448477.1
2015-06-30,7.432352941,50726000,377013535.3
2015-07-31,7.717368421,56778000,438176744.2
2015-08-31,8.061875,23904000,192711060
2015-09-30,8.065555556,53580000,432152466.7
2015-10-31,8.348333333,53924000,450175526.6
2015-11-30,8.482222222,53581500,454490190
2015-12-31,8.266,29624000,244871984
2016-01-31,6.48,41310000,267688800
2016-02-29,5.190555556,62031000,321975351.7
2016-03-31,4.878888889,62062000,302793602.2
2016-04-30,5.671111111,62101000,352181671.1
2016-05-31,5.896153846,44805000,264177173.1
2016-06-30,5.604444444,62912500,352589611.1
2016-07-31,4.625,62982500,291294062.5
2016-08-31,4.670769231,23334500,108990064.6
2016-09-30,4.281764706,61443000,263084468.8
2016-10-31,5.680625,57948000,329180857.5
2016-11-30,5.639375,57948000,326790502.5
2016-12-31,4.48,36154000,161969920
2017-01-31,5.107142857,60295500,307937732.1
2017-02-28,5.128125,69030000,353994468.8
2017-03-31,5.064736842,83503000,422920720.5
2017-04-30,4.75125,70009500,332632636.9
2017-05-31,4.57875,70009500,320555998.1
2017-06-30,4.963529412,74482500,369696079.4
2017-07-31,5.238421053,83005500,434817758.7
2017-08-31,5.634210526,41809500,235563525
2017-09-30,6.712222222,83217000,558570996.6
2017-10-31,7.258947368,83005500,602532555.8
2017-11-30,7.552777778,81887500,618478090.3
2017-12-31,7.297,44980500,328222708.5
2018-01-31,8.385625,66517000,557786618.1
2018-02-28,9.393333333,75090000,705345400
2018-03-31,11.37888889,75090000,854440766.8
2018-04-30,13.22666667,79303000,1048914347
2018-05-31,14.82785714,58091000,861365049.1
2018-06-30,15.11736842,79450000,1201074921
2018-07-31,16.214,83516000,1354128424
2018-08-31,18.77210526,39695000,745158718.3
2018-09-30,21.589375,67607000,1459592876
2018-10-31,19.594,86786000,1700484884
2018-11-30,18.67529412,70583000,1318158285
2018-12-31,20.68125,32969000,681840131.3
2019-01-31,22.96214286,38797000,890862256.5
2019-02-28,20.84277778,51633000,1076175145
2019-03-31,21.81368421,54842000,1196306069
2019-04-30,25.51,50919000,1298943690
2019-05-31,25.460625,46643000,1187559932
2019-06-30,24.929375,50141500,1249996257
2019-07-31,27.89142857,67057000,1870315526
2019-08-31,27.11105263,29219500,792171402.3
2019-09-30,25.71833333,53701000,1381100218
2019-10-31,24.434,59188500,1446211809
2019-11-30,24.54052632,56529500,1387263683
2019-12-31,24.587,29869000,734389103
2020-01-31,24.35647059,50008500,1218030560
2020-02-29,23.885,52726000,1259360510
2020-03-31,19.87052632,58161000,1155689681
2020-04-30,20.05764706,50360000,1010103106
2020-05-31,19.62071429,42206000,828111867.3
2020-06-30,23.25157895,55437000,1288997782
2020-07-31,27.34190476,69271000,1894001085
2020-08-31,26.53611111,31734000,842096950
2020-09-30,27.57388889,70593000,1946523538
2020-10-31,25.172,77137500,1941705150
2020-11-30,26.31684211,74538500,1961617936
2020-12-31,29.75888889,35307000,1050697090
2021-01-31,33.51,2651000,88835010
2021-02-28,37.6625,60366000,2273534475
2021-03-31,40.50086957,69519500,2815600202
2021-04-30,44.957,60366000,2713874262
2021-05-31,51.958125,47849500,2486170302
2021-06-30,52.70181818,66231000,3490494120
2021-07-31,53.42136364,66305500,3542130227
2021-08-31,56.29047619,31961500,1799128055
2021-09-30,61.32809524,47747000,2928232563
2021-10-31,59.61761905,47477000,2830465700
2021-11-30,65.54227273,50703000,3323189854
2021-12-31,80.63714286,31775500,2562285533
2022-01-31,83.29714286,32980000,2747139772
2022-02-28,89.98833333,43588500,3922456467
2022-03-31,74.6095,49053000,3659819804
2022-04-30,80.52705882,41992500,3381532517
2022-05-31,85.28833333,43732500,3729872037
